Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7nF,C_0402,96.52,-25.908,270,bottom
C2,1uF,C_0402,102.362,-30.988,90,bottom
C3,0.1uF,C_0402,105.087,-34.565,270,bottom
C4,0.1uF,C_0402,93.472,-34.798,270,bottom
C5,0.1uF,C_0402,93.5355,-38.7985,90,bottom
C6,10uF,C_0402,101.092,-41.91,0,bottom
C7,22pF,C_0402,107.061,-37.465,90,bottom
C8,22pF,C_0402,107.061,-39.624,270,bottom
F1,500mA,Fuse_0805,95.25,-30.988,0,bottom
R1,1M,R_0402,100.584,-25.908,270,bottom
R2,5.1k,R_0402,98.552,-25.908,270,bottom
R3,5.1k,R_0402,100.838,-30.988,90,bottom
R4,22,R_0402,99.314,-30.988,90,bottom
R5,22,R_0402,97.79,-30.988,90,bottom
R6,10k,R_0402,103.637,-34.565,90,bottom
R7,10k,R_0402,96.012,-41.91,0,bottom
SW1,SW_Push,TS-1187A-B-A-B,106.187,-29.815,90,bottom
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,98.552,-36.83,270,bottom
X1,16MHz,Crystal_SMD_3225-4pin_3.2x2.5mm,104.775,-38.5445,90,bottom
